name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
ドーミーイン長崎新地中華街,ドーミーイン長崎新地中華街,長崎県,,長崎県長崎市銅座町7-24,850-0841,32.7422071,129.8761734,+81 95 820 5489,https://dormy-hotels.com/dormyinn/hotels/nagasaki/,,openstreetmap,node/3828530361,https://www.openstreetmap.org/node/3828530361
サウナサン,サウナサン,長崎県,,,,33.1668283,129.7210682,,,,openstreetmap,node/11834469869,https://www.openstreetmap.org/node/11834469869
ドーミーインPREMIUM長崎駅前,ドーミーインpremium長崎駅前,長崎県,長崎市,長崎県長崎市五島町229,850-0036,32.7502646,129.8731504,+81 95 822 5489,https://dormy-hotels.com/dormyinn/hotels/premium_nagasaki/,,openstreetmap,way/714787636,https://www.openstreetmap.org/way/714787636
