name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
名倉湯,名倉湯,京都府,,,,34.9924593,135.7306584,,,,openstreetmap,node/10982284205,https://www.openstreetmap.org/node/10982284205
明田湯,明田湯,京都府,,,,34.9763737,135.759447,,,,openstreetmap,node/10982358905,https://www.openstreetmap.org/node/10982358905
旭湯,旭湯,京都府,,,,34.9782451,135.7403605,,,,openstreetmap,node/10982358906,https://www.openstreetmap.org/node/10982358906
石田湯,石田湯,京都府,,,,34.9726055,135.7605485,,,,openstreetmap,node/10982363905,https://www.openstreetmap.org/node/10982363905
船戸湯,船戸湯,京都府,,,,34.974093,135.7336934,,,,openstreetmap,node/10982374705,https://www.openstreetmap.org/node/10982374705
洛陽湯,洛陽湯,京都府,,,,34.9806914,135.7354254,,,,openstreetmap,node/10982376605,https://www.openstreetmap.org/node/10982376605
京都市立久世浴場,京都市立久世浴場,京都府,,,,34.9603599,135.7222989,,,,openstreetmap,node/10982386705,https://www.openstreetmap.org/node/10982386705
太秦温泉,太秦温泉,京都府,,,,35.0136316,135.7036734,,,,openstreetmap,node/10982412706,https://www.openstreetmap.org/node/10982412706
旭湯,旭湯,京都府,,,,35.0064465,135.7316461,,,,openstreetmap,node/10982431805,https://www.openstreetmap.org/node/10982431805
梅の宮湯,梅の宮湯,京都府,,,,35.0040747,135.6988533,,,,openstreetmap,node/10982455805,https://www.openstreetmap.org/node/10982455805
京極湯,京極湯,京都府,,,,34.988796,135.7184758,,,,openstreetmap,node/10982463305,https://www.openstreetmap.org/node/10982463305
寿湯,寿湯,京都府,,,,35.0111833,135.724027,,,,openstreetmap,node/10982463307,https://www.openstreetmap.org/node/10982463307
天翔の湯 大門,天翔の湯大門,京都府,,,,34.9891736,135.7265268,,,,openstreetmap,node/10982506705,https://www.openstreetmap.org/node/10982506705
社湯,社湯,京都府,,,,35.0108055,135.7131192,,,,openstreetmap,node/10982520005,https://www.openstreetmap.org/node/10982520005
山ノ内湯,山ノ内湯,京都府,,,,35.0060619,135.7224965,,,,openstreetmap,node/10982520105,https://www.openstreetmap.org/node/10982520105
京乃湯,京乃湯,京都府,,,,35.0028139,135.7051039,,,,openstreetmap,node/10982553805,https://www.openstreetmap.org/node/10982553805
桂湯,桂湯,京都府,,,,34.9793422,135.7071723,,,,openstreetmap,node/10982591505,https://www.openstreetmap.org/node/10982591505
鞍馬湯,鞍馬湯,京都府,,,,34.9367767,135.7559678,,,,openstreetmap,node/10982654947,https://www.openstreetmap.org/node/10982654947
宝湯,宝湯,京都府,,,,34.9540389,135.7768751,,,,openstreetmap,node/10982718305,https://www.openstreetmap.org/node/10982718305
伏見温泉,伏見温泉,京都府,,,,34.9637848,135.7634814,,,,openstreetmap,node/10982737006,https://www.openstreetmap.org/node/10982737006
京都市立改新浴場,京都市立改新浴場,京都府,,,,34.9485096,135.756346,,,,openstreetmap,node/10982741507,https://www.openstreetmap.org/node/10982741507
ぎょうざ湯,ぎょうざ湯,京都府,,,,35.0020179,135.7719881,,,,openstreetmap,node/11449018870,https://www.openstreetmap.org/node/11449018870
SASAUNA,sasauna,京都府,,,,34.9950879,135.7693568,,,,openstreetmap,node/11576322471,https://www.openstreetmap.org/node/11576322471
サウナ&カプセルホテル ルーマプラザ,サウナ&カプセルホテルルーマプラザ,京都府,,,,35.0036053,135.7742053,,https://rumor-plaza.jp/,,openstreetmap,node/13860438801,https://www.openstreetmap.org/node/13860438801
御宿 野乃 京都七条,御宿野乃京都七条,京都府,,,,34.9886535,135.762361,+81 75 365 5489,,,openstreetmap,way/534587129,https://www.openstreetmap.org/way/534587129
