name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
スパ&ラウンジ長潟,スパ&ラウンジ長潟,新潟県,,,,37.8843527,139.0682164,,,,openstreetmap,node/12657924252,https://www.openstreetmap.org/node/12657924252
ナステビュウ湯の山,ナステビュウ湯の山,新潟県,十日町市,新潟県十日町市松之山湯山12521,,37.0728935,138.6112038,+81 25 596 2619,https://yunoyama.jp/,,openstreetmap,way/388684216,https://www.openstreetmap.org/way/388684216
ドーミーイン新潟,ドーミーイン新潟,新潟県,,,,37.9161867,139.0645436,+81 25 247 7755,,,openstreetmap,way/621489038,https://www.openstreetmap.org/way/621489038
極楽湯 槇尾店,極楽湯槇尾店,新潟県,,,,37.8614486,138.9466334,,https://www.gokurakuyu.ne.jp/tempo/makio/index.html,,openstreetmap,way/1227814467,https://www.openstreetmap.org/way/1227814467
