original_name,source_id,source_url,reason
岩盤浴天咲の癒,node/5030101628,https://www.openstreetmap.org/node/5030101628,岩盤浴・ホットヨガのみの可能性があります
岩盤浴 山形ゆたか,node/5585614926,https://www.openstreetmap.org/node/5585614926,岩盤浴・ホットヨガのみの可能性があります
