name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
一の宮温泉,一の宮温泉,熊本県,,,,32.9775407,131.1266095,,,Mo-Su 10:00-21:00,openstreetmap,node/4417023789,https://www.openstreetmap.org/node/4417023789
月廻り温泉・離れの宿,月廻り温泉・離れの宿,熊本県,,,,32.8384747,131.134212,,,,openstreetmap,node/4528209289,https://www.openstreetmap.org/node/4528209289
草枕展望サウナ,草枕展望サウナ,熊本県,,,,32.8531224,130.5921689,,,,openstreetmap,way/1240661903,https://www.openstreetmap.org/way/1240661903
草枕展望サウナ,草枕展望サウナ,熊本県,,,,32.853243,130.5922437,,,,openstreetmap,way/1240661904,https://www.openstreetmap.org/way/1240661904
草枕展望サウナ,草枕展望サウナ,熊本県,,,,32.8533342,130.5923036,,,,openstreetmap,way/1240661905,https://www.openstreetmap.org/way/1240661905
